stock,strategy,trades,wins,win_rate,avg_ret,total_ret,bh_ret
MARUTI,CAM_S3_SHORT,25,14,0.56,0.003858423733201599,0.09964303605716851,-0.032203138880663285
MARUTI,CAM_BREAK_LONG,12,5,0.4166666666666667,-0.00472142647904437,-0.0562387152388385,-0.032203138880663285
HCLTECH,STD_BOUNCE_LONG,25,13,0.52,0.0010972228325671729,0.025865159071255084,-0.1667157397837542
HCLTECH,STD_BOUNCE_SHORT,18,10,0.5555555555555556,-0.001818856149130811,-0.033083973787348286,-0.1667157397837542
HCLTECH,STD_BREAK_LONG,11,5,0.45454545454545453,-0.0035932658748232967,-0.04028545499629432,-0.1667157397837542
HCLTECH,FIB_BOUNCE_LONG,29,14,0.4827586206896552,-0.0009031410921621816,-0.02726909564749902,-0.1667157397837542
HCLTECH,FIB_BOUNCE_SHORT,18,11,0.6111111111111112,0.0019815328732740783,0.0347568909059206,-0.1667157397837542
HCLTECH,CAM_L3_LONG,27,13,0.48148148148148145,0.0009909992638543344,0.0259859710941428,-0.1667157397837542
HCLTECH,CAM_S3_SHORT,25,10,0.4,0.0006834708419854654,0.016081513954286253,-0.1667157397837542
HCLTECH,CAM_BREAK_LONG,12,6,0.5,3.78328819981566e-05,-0.0019161450252307421,-0.1667157397837542
SUNPHARMA,STD_BOUNCE_LONG,24,15,0.625,0.001646510044018538,0.038944289760194595,-0.011618899920513126
SUNPHARMA,STD_BOUNCE_SHORT,21,10,0.47619047619047616,-0.0005303437381843965,-0.012992611043405877,-0.011618899920513126
SUNPHARMA,STD_BREAK_LONG,15,5,0.3333333333333333,-0.0038874190934490294,-0.057882526633748044,-0.011618899920513126
SUNPHARMA,FIB_BOUNCE_LONG,30,18,0.6,0.00045537912019423635,0.012040624174735504,-0.011618899920513126
SUNPHARMA,FIB_BOUNCE_SHORT,21,12,0.5714285714285714,-0.0008837893304609759,-0.020608461848241277,-0.011618899920513126
SUNPHARMA,CAM_L3_LONG,36,12,0.3333333333333333,-0.0011169544396192515,-0.04029325816530083,-0.011618899920513126
SUNPHARMA,CAM_S3_SHORT,23,10,0.43478260869565216,-0.0007211685753814659,-0.017028750069912335,-0.011618899920513126
SUNPHARMA,CAM_BREAK_LONG,12,4,0.3333333333333333,-0.0025976301230654455,-0.031352760686439995,-0.011618899920513126
ULTRACEMCO,STD_BOUNCE_LONG,24,8,0.3333333333333333,-0.004809930719390394,-0.11213915363146365,-0.04499912111091575
ULTRACEMCO,STD_BOUNCE_SHORT,22,8,0.36363636363636365,-0.0015447518011503943,-0.03487212487989777,-0.04499912111091575
ULTRACEMCO,STD_BREAK_LONG,16,9,0.5625,0.00022343146688689358,0.001902215112589145,-0.04499912111091575
ULTRACEMCO,FIB_BOUNCE_LONG,19,8,0.42105263157894735,-0.0031441153568477357,-0.0601144249243063,-0.04499912111091575
ULTRACEMCO,FIB_BOUNCE_SHORT,21,9,0.42857142857142855,-0.002175081319242711,-0.04666830454730231,-0.04499912111091575
ULTRACEMCO,CAM_L3_LONG,25,7,0.28,-0.00293831195624763,-0.07159081826194458,-0.04499912111091575
ULTRACEMCO,CAM_S3_SHORT,21,6,0.2857142857142857,-0.0018454157703142473,-0.03861247957310032,-0.04499912111091575
ULTRACEMCO,CAM_BREAK_LONG,15,9,0.6,0.0010325543274404417,0.013987287202699594,-0.04499912111091575
TITAN,STD_BOUNCE_LONG,28,15,0.5357142857142857,0.0011993132451773858,0.029425608164675765,-0.028154474936845864
TITAN,STD_BOUNCE_SHORT,20,8,0.4,-0.004478749588706582,-0.08736233651337455,-0.028154474936845864
TITAN,STD_BREAK_LONG,12,3,0.25,-0.006250351395912253,-0.07372958988048173,-0.028154474936845864
TITAN,FIB_BOUNCE_LONG,24,10,0.4166666666666667,-9.83990524645965e-05,-0.005482442603640836,-0.028154474936845864
TITAN,FIB_BOUNCE_SHORT,19,8,0.42105263157894735,-0.005317966719672031,-0.09815803266171963,-0.028154474936845864
TITAN,CAM_L3_LONG,28,7,0.25,-0.0020138016400181986,-0.055856807109451845,-0.028154474936845864
TITAN,CAM_S3_SHORT,29,14,0.4827586206896552,0.001810930462989834,0.052638141452369336,-0.028154474936845864
TITAN,CAM_BREAK_LONG,13,2,0.15384615384615385,-0.010767073137090346,-0.13314984330399415,-0.028154474936845864
NESTLEIND,STD_BOUNCE_LONG,21,9,0.42857142857142855,0.0012476260559712957,0.025390601756347442,0.1638614597822885
NESTLEIND,STD_BOUNCE_SHORT,29,17,0.5862068965517241,0.0015096704647780163,0.043227645208008925,0.1638614597822885
NESTLEIND,STD_BREAK_LONG,11,6,0.5454545454545454,0.0017361186466379993,0.018759946873113442,0.1638614597822885
NESTLEIND,FIB_BOUNCE_LONG,30,20,0.6666666666666666,0.003287099095697817,0.10183224146381509,0.1638614597822885
NESTLEIND,FIB_BOUNCE_SHORT,27,12,0.4444444444444444,0.00032966970819729686,0.007593750064669891,0.1638614597822885
NESTLEIND,CAM_L3_LONG,34,20,0.5882352941176471,0.004248781964975608,0.15369591210081368,0.1638614597822885
NESTLEIND,CAM_S3_SHORT,38,17,0.4473684210526316,0.0012544124805580498,0.04739464877045174,0.1638614597822885
NESTLEIND,CAM_BREAK_LONG,12,6,0.5,0.0005523963809762982,0.006057489023591378,0.1638614597822885
WIPRO,STD_BOUNCE_LONG,24,8,0.3333333333333333,-0.004214724453674175,-0.09885427671484648,-0.09972330729166667
WIPRO,STD_BOUNCE_SHORT,14,3,0.21428571428571427,-0.006110041882661439,-0.08253374670248259,-0.09972330729166667
WIPRO,STD_BREAK_LONG,17,8,0.47058823529411764,-0.0018467948283440842,-0.03228669561338038,-0.09972330729166667
WIPRO,FIB_BOUNCE_LONG,30,11,0.36666666666666664,-0.0028970841674059162,-0.08557031311787555,-0.09972330729166667
