stock,strategy,trades,wins,win_rate,avg_ret,total_ret,bh_ret,edge_vs_bh
SUNPHARMA,STD_S1_BREAKDOWN_SHORT,19,8,0.4210526315789473,-0.0028799685433687,-0.05389740765002571,0.0147216425066274,-0.06861905015665311
SUNPHARMA,FIB_S1_BOUNCE_LONG,34,17,0.5,0.0007065518236078,0.02365939730738731,0.0147216425066274,0.008937754800759909
SUNPHARMA,FIB_R1_BOUNCE_SHORT,34,19,0.5588235294117647,0.0011659687731258,0.03984455462788339,0.0147216425066274,0.02512291212125599
SUNPHARMA,CAM_L3_LONG,44,20,0.4545454545454545,0.0005843261693684001,0.02465878800896193,0.0147216425066274,0.00993714550233453
SUNPHARMA,CAM_S3_SHORT,39,20,0.5128205128205128,0.0008246925160544001,0.03159774880676336,0.0147216425066274,0.01687610630013596
SUNPHARMA,CAM_R4_BREAKOUT_LONG,22,10,0.4545454545454545,-0.0010857742996768,-0.023954326185467556,0.0147216425066274,-0.038675968692094956
SUNPHARMA,CAM_S4_BREAKDOWN_SHORT,17,7,0.4117647058823529,-0.0011454414781516,-0.019773404064668876,0.0147216425066274,-0.034495046571296276
ULTRACEMCO,STD_S1_BOUNCE_LONG,29,14,0.4827586206896552,-0.0014560184766644,-0.04197607009152349,-0.0778514363420024,0.03587536625047891
ULTRACEMCO,STD_R1_BOUNCE_SHORT,29,13,0.4482758620689655,0.0012098185111058001,0.034138162844813635,-0.0778514363420024,0.11198959918681603
ULTRACEMCO,STD_R1_BREAKOUT_LONG,22,12,0.5454545454545454,-0.0014738005529100998,-0.033057556346379746,-0.0778514363420024,0.04479387999562265
ULTRACEMCO,STD_S1_BREAKDOWN_SHORT,26,11,0.4230769230769231,-0.0023898473373786997,-0.06078855706055297,-0.0778514363420024,0.017062879281449422
ULTRACEMCO,FIB_S1_BOUNCE_LONG,33,14,0.4242424242424242,-0.0005523974720858999,-0.018579291692681466,-0.0778514363420024,0.05927214464932093
ULTRACEMCO,FIB_R1_BOUNCE_SHORT,33,16,0.4848484848484848,0.0011854271899834,0.03840645005432797,-0.0778514363420024,0.11625788639633036
ULTRACEMCO,CAM_L3_LONG,35,7,0.2,-0.0033814430965046,-0.11220853635935746,-0.0778514363420024,-0.03435710001735506
